Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Pledged percentage
Goa Carbon,509567,GOACARBON,INE426D01013,Minerals & Mining,Industrial Minerals,388.55,,355.52,0.00,-6.58,17.23,65.70,-67.03,-4.91,-2.94,-42.20,26.19,202606.00,-51.22,-7.19,,92.75
Gokaldas Exports,532630,GOKEX,INE887G01027,Textiles & Apparels,Garments & Apparels,747.70,53.22,5478.98,0.00,44.30,6.82,1153.51,20.69,7.65,7.65,-40.43,-5.78,202606.00,14.05,6.05,-29.72,96.28
Goldcoin Health,538542,,INE634J01027,Food Products,Packaged Foods,30.45,,4.56,0.00,-0.09,-325.00,0.02,0.00,-11.15,12.50,-142.86,-5.00,202606.00,-1.10,-0.60,18.72,42.55
GP Eco Solutions,,GPECO,INE0S7E01015,Electrical Equipment,Other Electrical Equipment,398.00,12.23,490.73,0.00,32.94,424.16,292.91,79.56,38.27,68.16,287.26,251.54,202603.00,33.91,25.12,-38.25,55.50
GPT Infraproject,533761,GPTINFRA,INE390G01014,Construction,Civil Construction,110.25,14.15,1393.20,2.50,24.34,4.90,302.07,-3.38,21.40,1.62,13.47,31.51,202606.00,7.79,1.95,42.14,50.77
Him Teknoforg.,505712,,INE705G01021,Auto Components,Auto Components & Equipments,280.00,20.83,289.27,0.30,4.15,44.60,118.28,17.45,9.08,13.50,32.79,24.05,202606.00,13.97,4.02,-6.43,43.66
Hind.Construct.,500185,HCC,INE549A01026,Construction,Civil Construction,21.47,41.51,5623.94,0.00,51.08,0.69,993.42,-8.97,24.85,-20.64,366.39,-22.23,202606.00,0.63,0.20,33.54,82.43
HLV,500193,HLVLTD,INE102A01024,Leisure Services,Hotels & Resorts,6.27,52.99,413.37,0.00,-0.78,77.52,46.68,14.58,1.60,2.86,-61.42,-33.75,202606.00,0.07,-0.01,-12.17,36.49
Impex Ferro Tech,532614,IMPEXFERRO,INE691G01015,Ferrous Metals,Ferro & Silica Manganese,5.28,,46.43,0.00,-1.77,5.35,0.00,,,-100.00,13.88,10.14,202606.00,-0.72,-0.20,22.96,100.00
India Finsec,535667,,INE474O01010,Finance,Non Banking Financial Company (NBFC),240.00,42.69,700.60,0.00,6.89,28.68,28.55,53.66,13.28,29.42,41.22,35.61,202606.00,5.62,1.68,62.54,84.16
India Power Corp,,DPSCLTD,INE360C01024,Power,Integrated Power Utilities,7.06,53.68,687.50,0.71,4.14,321.39,166.08,21.47,3.49,10.10,82.22,104.67,202603.00,0.13,0.04,-6.95,67.63
Indian Acrylics,514165,,INE862B01013,Chemicals & Petrochemicals,Petrochemicals,5.80,,78.48,0.00,-1.67,64.62,106.94,24.07,-3.31,3.07,21.55,104.47,202606.00,-1.55,-0.12,,26.36
Indo Borax & Ch.,524342,INDOBORAX,INE803D01021,Chemicals & Petrochemicals,Commodity Chemicals,464.75,30.46,1491.42,2.17,16.25,59.31,70.36,31.34,15.37,29.69,26.54,24.26,202606.00,17.55,5.06,-9.29,100.00
