Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Profit growth 3Years,Sales growth 3Years
Fischer Medical,524743,FISCHER,INE771F01041,Healthcare Equipment & Supplies,Medical Equipment & Supplies,36.21,76.40,2370.00,0.01,-7.10,-641.98,97.73,98.76,11.43,178.75,2010.20,1406.29,202603.00,0.47,-0.11,58.93,819.53,1096.83
Force Motors,500033,FORCEMOT,INE451A01017,Automobiles,Passenger Cars & Utility Vehicles,19131.70,23.78,25208.40,0.21,278.54,56.59,2549.84,8.23,36.08,12.21,91.93,35.00,202603.00,919.55,211.38,221.39,221.39,21.67
Frontier Springs,522195,FRONTSP,INE572D01014,Auto Components,Auto Components & Equipments,1536.00,29.64,1814.85,0.04,16.59,42.28,82.54,17.78,50.92,39.23,79.43,72.55,202603.00,51.89,14.04,103.74,103.83,44.22
FSN E-Commerce,543384,NYKAA,INE388Y01029,Retailing,E-Retail/ E-Commerce,264.20,361.32,75653.92,0.00,78.75,286.49,2648.17,28.44,17.20,26.07,216.85,58.45,202603.00,0.70,0.27,121.25,121.53,24.90
Fujiyama Power,544613,UTLSOLAR,INE12UR01024,Electrical Equipment,Other Electrical Equipment,316.00,31.88,9698.10,0.00,106.32,107.49,900.77,87.52,34.95,72.30,94.53,97.05,202603.00,9.93,3.47,-17.78,131.95,58.74
Ganesh Green,,GGBL,INE0R8C01018,Electrical Equipment,Other Electrical Equipment,347.00,11.45,860.59,0.00,42.34,147.60,724.85,300.98,36.81,241.93,153.71,151.63,202603.00,30.30,17.07,-23.56,109.78,131.95
Garden Reach Sh.,542011,GRSE,INE382Z01011,Aerospace & Defense,Aerospace & Defense,2633.50,40.35,30167.28,0.53,303.20,24.14,2119.21,29.06,42.96,37.95,44.43,88.55,202603.00,65.29,26.47,50.49,50.49,39.83
GE Vernova T&D,522275,GVT&D,INE200A01026,Electrical Equipment,Heavy Electrical Equipment,4963.00,99.34,127077.58,0.10,351.77,86.32,1637.08,42.04,76.43,44.59,110.26,102.57,202603.00,48.17,13.74,489.65,489.65,30.80
GK Energy,544525,GKENERGY,INE1AG301022,Construction,Civil Construction,123.80,12.48,2510.87,0.00,59.05,31.66,418.57,18.74,40.87,39.98,51.08,52.09,202603.00,9.92,2.91,-49.61,171.29,75.19
GNG Electronics,544455,EBGNG,INE18JU01028,IT - Hardware,Computers Hardware & Equipments,445.50,38.44,5079.21,0.00,42.15,185.76,651.66,42.98,20.30,34.01,91.81,67.84,202603.00,11.58,3.70,-88.89,59.15,41.98
Godrej Propert.,533150,GODREJPROP,INE484J01027,Realty,"Residential, Commercial Projects",1755.60,28.30,52880.02,0.56,645.44,70.53,3458.13,62.99,8.28,4.24,52.21,-510.61,202603.00,61.43,21.58,52.79,56.92,31.59
GP Eco Solutions,,GPECO,INE0S7E01015,Electrical Equipment,Other Electrical Equipment,449.90,13.27,532.28,0.00,32.94,424.16,292.91,79.56,38.27,68.16,287.26,251.54,202603.00,33.91,25.12,-38.25,140.62,59.26
HBL Engineering,517271,HBLENGINE,INE292B01021,Industrial Products,Other Industrial Products,814.15,26.89,22567.81,0.24,63.73,44.18,604.12,27.03,58.45,67.89,201.21,183.37,202603.00,29.40,2.30,104.73,104.73,34.13
Hitachi Energy,543187,POWERINDIA,INE07Y701011,Electrical Equipment,Heavy Electrical Equipment,37300.00,161.75,166254.92,0.02,330.46,79.71,2754.05,46.21,29.02,27.61,167.37,106.84,202603.00,221.63,74.14,118.08,121.78,22.17
Indo SMC,544681,,INE0WKY01013,Electrical Equipment,Other Electrical Equipment,291.80,20.60,666.91,0.00,20.93,344.37,197.20,186.09,33.91,123.33,109.72,100.38,202603.00,14.17,9.16,26.03,312.90,248.79
Indo Tech.Trans.,532717,INDOTECH,INE332H01014,Electrical Equipment,Heavy Electrical Equipment,2622.65,30.03,2785.25,0.00,23.92,14.01,238.99,15.98,37.71,27.84,45.23,42.16,202603.00,87.35,22.52,53.40,53.40,28.23
Indo Thai Sec.,533676,INDOTHAI,INE337M01021,Capital Markets,Stockbroking & Allied,229.70,38.03,2515.68,0.04,26.18,1114.73,38.34,555.38,34.58,288.07,701.94,635.38,202603.00,12.08,4.78,174.33,130.27,139.15
Innovision,544732,INNOVISION,INE0ADB01012,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",304.55,19.65,725.23,0.00,11.87,8.15,267.52,6.28,20.28,9.81,25.95,13.02,202603.00,15.51,5.01,-37.36,63.05,56.56
Jain Resource,544537,JAINREC,INE0YD401026,Diversified Metals,Diversified Metals,378.60,37.07,13064.96,0.00,66.03,21.78,3104.98,76.42,25.49,33.92,58.62,48.75,202603.00,10.07,1.91,-23.59,56.71,46.04
