Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Sales growth 3Years,Profit growth 3Years
DCW,500117,DCW,INE500A01029,Chemicals & Petrochemicals,Petrochemicals,47.02,28.81,1387.82,0.21,18.08,60.57,609.06,13.23,9.69,7.16,60.41,14.29,202603.00,1.63,0.61,-32.94,-6.63,-32.94
Deccan Cements,502137,DECCANCE,INE583C01021,Cement & Cement Products,Cement & Cement Products,616.50,48.32,863.56,0.10,4.73,-202.01,213.89,79.86,3.31,20.61,230.31,116.13,202603.00,20.41,3.38,-28.77,-6.66,-28.77
Deep Polymers,541778,,INE00IY01012,Chemicals & Petrochemicals,Specialty Chemicals,36.28,17.55,87.73,0.00,1.77,-5.85,25.75,3.21,8.06,-5.22,-32.43,-7.28,202509.00,2.07,0.73,-23.56,-10.63,-22.31
Delta Corp,532848,DELTACORP,INE124G01033,Leisure Services,Amusement Parks/ Other Recreation,69.60,20.84,1863.69,1.80,16.45,-28.81,161.25,-11.72,5.02,-5.64,0.02,-32.76,202603.00,3.19,0.61,-30.17,-10.63,-30.15
Dhampur Sugar,500119,DHAMPURSUG,INE041A01016,Agricultural Food & other Products,Sugar,141.07,13.94,907.17,1.42,45.70,-6.88,490.65,-20.75,6.43,0.56,30.28,2.12,202603.00,10.12,7.10,-25.16,-7.17,-25.95
Dhanlaxmi Cotex,512485,,INE977F01010,Commercial Services & Supplies,Trading & Distributors,115.55,703.62,56.29,0.00,-0.22,89.47,2.52,189.66,0.11,-35.72,-98.62,-115.36,202603.00,0.16,-0.45,-31.60,-19.35,-31.60
DHP India,531306,,INE590D01016,Oil,Oil Equipment & Services,551.85,14.97,165.56,0.72,4.10,-93.67,25.16,27.91,6.49,25.25,71.21,82.99,202603.00,36.87,13.67,-22.14,-12.76,-22.14
Dhyaani Trade,543516,,INE0K5F01014,Commercial Services & Supplies,Trading & Distributors,4.93,139.83,8.39,0.00,0.20,0.00,22.41,107.12,1.96,-20.37,-92.21,-60.66,202509.00,0.13,0.12,-56.73,-15.37,-51.11
Divyashakti,526315,,INE410G01010,Other Construction Materials,Other Construction Materials,47.56,46.51,48.84,4.21,0.08,-82.98,8.71,-52.33,0.76,-45.58,-58.66,-136.00,202603.00,1.02,0.08,-48.82,-22.79,-48.82
Dr Lalchand. Lab,541299,,INE871Z01013,Healthcare Services,Healthcare Service Provider,9.99,18.43,8.66,0.00,0.20,33.33,2.05,-3.76,2.81,4.04,-45.35,-51.27,202509.00,0.54,0.23,-31.42,-26.66,-31.42
Dreamfolks Servi,543591,DREAMFOLKS,INE0JS101016,Transport Infrastructure,Airport & Airport services,77.78,35.84,414.33,0.00,-13.01,-187.62,52.64,-83.24,5.71,-48.87,-82.25,-96.74,202603.00,2.17,-2.46,-45.97,-5.12,-45.62
Droneacharya Aer,543713,,INE0MQD01015,Commercial Services & Supplies,Diversified Commercial Services,40.79,257.50,97.85,0.00,-1.56,89.66,5.09,-33.20,1.03,-57.50,102.81,123.04,202603.00,0.16,-0.65,-51.88,-7.56,-51.88
Dwarikesh Sugar,532610,DWARKESH,INE366A01041,Agricultural Food & other Products,Sugar,44.14,26.52,817.92,1.13,57.41,23.92,425.43,-7.28,4.62,3.17,32.25,-23.43,202603.00,1.66,3.10,-33.17,-12.64,-33.52
Electro Force,,EFORCE,INE0Q1W01012,Electrical Equipment,Other Electrical Equipment,23.50,87.29,54.99,0.00,-0.23,-119.49,9.65,-73.78,1.31,-63.33,-50.78,-151.28,202603.00,0.27,-0.10,-60.70,-14.05,-56.62
Electrost.Cast.,500128,ELECTCAST,INE086A01029,Industrial Products,Iron & Steel Products,77.13,25.13,4768.06,1.82,15.99,-90.51,1492.74,-12.23,5.21,-19.15,-73.52,-65.80,202603.00,2.61,0.26,-16.97,-6.65,-15.89
Emkay Taps & Cut,,EMKAYTOOLS,INE332S01011,Industrial Manufacturing,Industrial Products,100.30,13.20,107.03,0.00,5.78,170.15,0.46,-98.88,3.48,-22.13,872.38,43.60,202603.00,7.58,5.40,-37.47,-28.34,-37.47
ERP Soft Systems,530909,,INE308B01017,Commercial Services & Supplies,Diversified Commercial Services,59.90,131.78,23.72,0.00,0.04,-66.67,1.79,-39.32,1.21,0.21,-5.26,-3.70,202603.00,0.45,0.10,-16.57,-25.66,-16.57
Euro Leder Fash,526468,,INE940E01011,Consumer Durables,"Gems, Jewellery And Watches",17.25,385.50,7.71,0.00,-0.12,-170.59,8.00,49.25,7.12,48.59,-89.47,,202603.00,0.04,-0.27,-62.19,-12.43,-62.19
Fairchem Organic,543252,FAIRCHEMOR,INE0DNW01011,Chemicals & Petrochemicals,Specialty Chemicals,616.15,129.19,802.28,1.22,3.69,525.42,116.93,-3.19,3.34,-14.55,-72.05,-49.90,202603.00,4.25,2.83,-47.75,-10.82,-47.75
Filatex Fash.,532022,FILATFASH,INE185E01021,Textiles & Apparels,Garments & Apparels,0.23,68.46,191.68,0.00,0.33,-81.77,22.08,-66.46,0.17,-37.14,-70.12,-58.68,202603.00,0.00,0.00,-76.10,-11.91,-38.28
Fine Organic,541557,FINEORG,INE686Y01026,Chemicals & Petrochemicals,Specialty Chemicals,4625.40,34.43,14181.47,0.24,117.49,20.97,625.32,3.05,21.47,4.26,0.34,-6.30,202603.00,136.03,38.32,-12.65,-7.85,-12.65
G K P Printing,542666,,INE05QJ01015,Industrial Products,Packaging,6.24,26.92,13.73,0.00,0.04,-83.33,6.20,-13.77,4.40,-9.56,-40.00,-14.29,202603.00,0.23,0.02,-19.29,-21.39,-19.29
G M D C,532181,GMDCLTD,INE131A01031,Minerals & Mining,Industrial Minerals,670.00,37.89,21306.00,1.51,194.09,-24.66,814.05,3.53,10.80,-6.93,-17.33,-30.50,202603.00,30.08,6.10,-22.42,-8.80,-22.42
G N F C,500670,GNFC,INE113A01013,Chemicals & Petrochemicals,Commodity Chemicals,504.30,9.17,7410.22,3.57,396.00,87.68,2208.00,7.45,12.03,-1.51,35.20,42.88,202603.00,54.99,26.95,-16.56,-8.74,-18.11
Galactico Corpo.,542802,,INE906Y01028,Diversified,Diversified,2.06,23.90,37.76,0.00,0.43,7.50,5.37,-37.92,6.26,-15.59,-17.71,-57.01,202603.00,0.09,0.02,-45.77,-13.08,-45.77
Galaxy Bearings,526073,,INE020S01012,Industrial Products,Abrasives & Bearings,536.15,51.51,170.50,0.00,1.08,-73.91,20.83,-30.45,5.20,-35.22,-75.72,-66.63,202603.00,10.41,3.40,-40.73,-17.14,-40.73
Garbi Finvest,539492,,INE721C01019,Finance,Non Banking Financial Company (NBFC),11.23,22.71,13.17,0.00,0.16,-87.20,0.62,-23.46,2.27,-57.37,462.50,-966.67,202512.00,0.49,0.14,-64.04,-51.18,-64.04
Gautam Exim,540613,,INE721X01023,Commercial Services & Supplies,Trading & Distributors,150.25,841.64,92.58,0.00,0.02,-50.00,17.86,-15.28,3.11,-61.54,450.00,-11.11,202509.00,0.18,0.03,-49.34,-54.61,-49.34
Genomic Valley,539206,,INE574D01010,Pharmaceuticals & Biotechnology,Biotechnology,26.54,270.33,8.11,0.00,-0.01,87.50,0.04,-84.62,1.02,-67.86,-91.67,-90.91,202603.00,0.10,-0.03,-67.94,-53.70,-67.94
GHCL,500171,GHCL,INE539A01019,Chemicals & Petrochemicals,Commodity Chemicals,454.15,8.84,4175.19,2.64,115.64,-23.05,790.51,1.16,17.99,-3.75,-21.34,-21.50,202603.00,51.39,12.58,-23.26,-12.32,-24.25
Gokak Textiles,532957,,INE642I01014,Textiles & Apparels,Other Textile Products,60.03,,39.02,0.00,-4.98,24.69,25.50,33.58,-2.37,-18.54,-24.97,-17.46,202603.00,-56.45,-7.51,-10.31,-11.48,-10.31
Goodyear India,500168,GOODYEAR,INE533A01012,Auto Components,Tyres & Rubber Products,736.50,22.34,1699.11,3.25,9.69,350.92,616.28,2.25,17.40,-5.07,37.99,20.67,202603.00,26.66,4.20,-14.77,-5.43,-14.77
Guj Apollo Inds,522217,GUJAPOLLO,INE826C01016,Industrial Manufacturing,Industrial Products,381.95,,495.39,0.52,0.63,-72.96,16.17,159.55,1.31,51.88,-149.95,-133.79,202512.00,-3.98,0.49,-53.48,-9.33,-53.48
Guru Krupa Gems,540545,,INE986W01016,Consumer Durables,"Gems, Jewellery And Watches",37.82,99.79,56.88,0.00,0.09,-70.00,6.16,-84.66,3.39,-73.81,-16.18,-24.07,202603.00,0.38,0.06,-11.49,-34.00,-11.42
Hampton Sky,526407,,INE299D01022,Realty,"Residential, Commercial Projects",10.19,,279.42,0.00,-2.11,-122.33,-0.66,-107.95,6.07,-89.25,-174.23,-137.81,202512.00,-0.63,-0.08,-41.31,-32.92,-39.01
Hemisphere Prop,543242,HEMIPROP,INE0AJG01018,Commercial Services & Supplies,Diversified Commercial Services,139.77,,3983.45,0.00,-1.72,-62.26,0.26,8.33,-1.14,8.79,-49.20,5.11,202603.00,-0.39,-0.06,-35.70,-20.90,-35.70
Hercules Investments,505720,HERCULES,INE688E01024,Industrial Manufacturing,Industrial Products,123.20,51.07,394.24,0.00,-0.08,,0.29,81.25,1.05,,38.35,1768.75,202603.00,2.41,-0.02,-33.06,-61.05,-33.06
Hikal,524735,HIKAL,INE475B01022,Pharmaceuticals & Biotechnology,Pharmaceuticals,195.28,66.33,2407.82,0.72,14.40,22.51,519.40,-5.97,3.52,-7.91,-59.86,-32.89,202603.00,-3.96,1.17,-22.48,-5.40,-22.48
Himalaya Food,526899,,INE552B01010,Agricultural Food & other Products,Other Agricultural Products,9.95,22.74,84.37,0.00,0.78,1460.00,9.95,2.79,2.17,-1.35,-4.87,1.92,202603.00,0.44,0.09,-48.58,-16.68,-48.98
Hira Automobile,531743,,INE258Z01013,Commercial Services & Supplies,Trading & Distributors,204.00,280.50,56.10,0.00,-0.05,-133.33,34.43,-25.65,7.53,-35.69,-75.31,-40.27,202603.00,0.73,-0.18,-30.66,-18.29,-30.66
I G Petrochems,500199,IGPL,INE204A01010,Chemicals & Petrochemicals,Commodity Chemicals,425.10,589.68,1309.09,2.35,28.07,48.05,524.27,9.20,3.12,-12.75,-97.90,-57.16,202603.00,0.72,9.12,-77.59,-6.46,-77.59
IEL,524614,,INE056E01024,Food Products,Other Food Products,5.71,413.61,74.45,0.00,0.59,368.18,0.42,4100.00,0.72,-84.25,-59.09,-108.20,202603.00,0.01,0.05,-57.20,-54.34,-57.59
Inani Marbles,531129,,INE635D01027,Other Construction Materials,Other Construction Materials,11.60,119.89,21.58,0.34,0.41,158.57,10.47,-6.01,2.46,9.28,-73.53,-17.52,202603.00,0.10,0.22,-38.66,-13.34,-38.66
India Home Loans,530979,,INE274E01015,Finance,Housing Finance Company,30.58,436.70,43.67,0.00,0.00,-100.00,3.70,-0.80,8.48,8.82,-60.00,-5.31,202603.00,0.07,0.00,-45.27,-12.85,-45.27
