Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Sales growth 3Years,Profit growth 3Years
Sanofi India,500674,SANOFI,INE058A01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,3130.00,21.04,7208.43,2.41,83.50,20.14,437.70,7.73,57.51,-8.88,-3.86,-4.40,202606.00,140.78,36.30,-13.00,-12.79,-13.00
Sarthak Metals,540393,SMLT,INE017W01010,Industrial Products,Iron & Steel Products,62.00,17.38,84.89,0.81,1.33,25.47,55.21,19.45,5.76,9.36,29.10,9.85,202606.00,3.56,0.97,-46.52,-22.21,-46.52
Satia Industries,539201,SATIA,INE170E01023,"Paper, Forest & Jute Products",Paper & Paper Products,66.97,,669.70,0.57,-17.12,-154.18,361.81,-2.46,3.94,-2.75,-107.88,-49.39,202606.00,-0.78,-1.71,-40.28,-8.26,-40.28
Scarnose Inter.,543537,,INE0IXR01019,Textiles & Apparels,Other Textile Products,35.82,1128.00,11.28,0.00,-0.07,-146.67,2.06,-14.17,0.10,-16.42,-94.74,-155.56,202603.00,0.03,-0.22,-37.00,-37.39,-37.00
Semac Construct,505368,SEMAC,INE617A01013,Construction,Civil Construction,268.50,12.62,83.70,0.00,0.40,-51.43,30.42,-41.02,10.32,8.90,376.25,578.98,202606.00,21.27,1.64,-25.86,-9.28,-25.72
Seshachal Tech.,531794,,INE331F01028,IT - Software,Software Products,63.33,,4.40,0.00,0.06,-40.00,3.87,73.54,1.58,215.00,-127.27,-113.33,202606.00,-0.43,0.86,-59.89,-42.38,-59.89
Seshasayee Paper,502450,SESHAPAPER,INE630A01024,"Paper, Forest & Jute Products",Paper & Paper Products,243.65,15.52,1536.62,0.81,31.91,106.80,492.08,27.68,5.60,5.80,13.03,40.53,202606.00,15.70,5.06,-40.70,-6.35,-40.70
Sh. Ganesh Elas.,530797,,INE400N01017,Commercial Services & Supplies,Trading & Distributors,19.00,24.88,10.45,0.00,0.99,890.00,4.07,1407.41,-10.84,-23.91,116.80,119.26,202606.00,0.76,1.80,-18.29,-26.89,-18.29
Shankara Building,540425,SHANKARA,INE274V01019,Retailing,Speciality Retail,148.20,69.09,359.36,2.02,1.54,266.67,350.35,8.40,2.92,-62.77,-89.03,-76.83,202606.00,2.05,0.64,-58.83,-30.31,-58.00
Shanti Overseas,,SHANTI,INE933X01016,Agricultural Food & other Products,Edible Oil,6.10,,6.78,0.00,0.03,-82.35,0.00,-100.00,-14.31,-58.13,-230.34,-112.96,202606.00,-6.96,0.03,-19.25,-54.66,-19.25
Shree Ganesh Bio,539470,,INE051N01026,Pharmaceuticals & Biotechnology,Biotechnology,0.48,,19.13,0.00,-0.57,-272.73,1.43,3.62,1.31,-75.84,-182.98,-73.53,202606.00,-0.01,-0.01,-33.13,-56.99,-33.13
Shreenath Paper,544372,,INE0RXS01018,Commercial Services & Supplies,Trading & Distributors,11.05,7.60,21.72,0.00,2.08,8.90,59.28,18.94,8.97,11.78,-1.04,-101.76,202603.00,1.46,1.06,-70.83,-17.53,-13.24
Shreeshay Engi.,541112,,INE452Z01012,Construction,Civil Construction,24.83,1092.67,32.78,0.00,0.16,220.00,0.00,-100.00,0.87,23.26,-66.67,-500.00,202603.00,0.17,0.12,-46.87,-38.57,-46.87
Shreyans Inds.,516016,SHREYANIND,INE231C01019,"Paper, Forest & Jute Products",Paper & Paper Products,129.00,,178.29,1.17,-3.24,-118.76,160.13,4.23,2.44,-0.87,-126.05,-126.62,202606.00,-10.16,-2.34,-55.99,-10.39,-55.99
Shri Hare-Krish.,,SHKSIL,INE0NON01025,Ferrous Metals,Sponge Iron,34.00,10.52,65.25,0.00,1.55,-64.85,27.21,-35.63,7.76,-17.19,-32.61,-40.06,202603.00,3.23,0.81,-64.88,-10.91,-16.19
Simbhaoli Sugar,539742,SIMBHALS,INE748T01016,Agricultural Food & other Products,Sugar,6.93,,28.60,0.00,-1.74,-92.33,192.21,-42.04,-6.48,-16.16,-3958.17,-167.31,202603.00,-12.50,0.46,-30.54,-12.15,-30.54
Siyaram Recycli.,544047,,INE0QSK01017,Industrial Products,Other Industrial Products,34.03,19.56,74.15,0.00,0.71,-89.70,149.84,-43.65,7.34,-29.26,-74.04,-37.36,202603.00,1.74,0.33,-30.52,-9.76,-19.11
SKF India,500472,SKFINDIA,INE640A01023,Industrial Products,Abrasives & Bearings,1508.00,50.18,7455.23,2.66,61.84,32.31,587.79,27.09,13.33,17.89,-40.78,-28.70,202606.00,42.36,12.52,-17.39,-20.91,-17.39
Smart Finsec,539494,,INE766D01020,Finance,Non Banking Financial Company (NBFC),7.95,21.10,23.85,0.00,0.43,53.57,0.69,25.45,8.41,-8.26,-1.74,1.31,202606.00,0.38,0.14,-11.42,-59.99,-11.42
Solve Plastic,,BALCO,INE0U0201016,Industrial Products,Plastic Products - Industrial,19.95,19.80,8.71,0.00,0.02,100.70,23.76,11.13,7.89,9.94,109.19,152.15,202603.00,1.01,0.05,-35.70,-8.09,-27.40
South. Magnesium,513498,,INE308N01012,Minerals & Mining,Industrial Minerals,79.00,,23.70,0.00,-0.50,-400.00,0.32,45.45,3.65,-48.36,-120.45,-122.70,202606.00,-0.90,-1.67,-66.73,-26.81,-66.73
Spinaroo Comm.,544392,,INE10XX01012,"Paper, Forest & Jute Products",Paper & Paper Products,49.95,64.70,34.94,0.00,0.09,-89.02,19.90,8.74,6.27,-0.10,-62.50,-50.85,202603.00,0.77,0.13,-56.38,-9.58,-16.57
SPL Industries,532651,SPLIL,INE978G01016,Textiles & Apparels,Trading - Textile Products,29.52,10.35,85.61,0.00,2.13,134.07,19.40,16.59,1.78,-36.35,1.85,-2377.42,202606.00,2.85,0.73,-51.39,-37.49,-51.39
Sr.Rayala.Hypo,532842,SRHHYPOLTD,INE917H01012,Chemicals & Petrochemicals,Commodity Chemicals,509.00,8.86,873.71,0.59,24.73,7.18,210.95,17.03,13.99,7.42,2.05,-7.55,202606.00,53.23,14.28,-11.43,-26.06,-11.43
SRG Fingrow Fin,536710,,INE326P01019,Finance,Non Banking Financial Company (NBFC),33.55,85.86,18.03,0.00,0.06,-64.71,0.59,-9.23,1.90,-9.23,-40.00,-43.75,202603.00,0.39,0.11,-26.08,-13.29,-26.08
