Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Debt to equity,Interest Coverage Ratio
Inditrade Cap.,532745,,INE347H01012,Finance,Other Financial Services,2.50,,5.84,0.00,-96.08,-3238.02,-10.25,-124.96,-31.28,-68.12,-3574.11,-449.71,202503.00,-29.31,-25.80,,2.44,-4.88
IndusInd Bank,532187,INDUSINDBK,INE095A01012,Banks,Private Sector Bank,914.35,80.10,71240.00,0.16,594.17,125.51,11005.42,3.49,5.68,-4.97,-65.45,-14.44,202603.00,11.41,7.63,-50.82,6.75,1.04
Innovative Ideal,541983,,INE492Y01011,Commercial Services & Supplies,Diversified Commercial Services,26.56,,30.23,0.00,-4.81,-310.04,0.01,-99.69,-44.43,-83.23,-967.00,-1078.41,202603.00,-8.22,-4.23,,4.67,-287.67
Interglobe Aviat,539448,INDIGO,INE646L01027,Transport Services,Airline,4405.00,,170321.97,0.23,-2662.10,-179.32,22438.40,1.29,6.71,5.15,-119.40,-34.38,202603.00,-64.73,-68.86,-18.38,13.21,0.94
J & K Bank,532209,J&KBANK,INE168A01041,Banks,Private Sector Bank,140.36,6.55,15456.20,1.53,798.56,37.23,3273.34,1.87,5.84,4.86,13.38,6.67,202603.00,21.43,7.25,23.28,10.23,1.41
Jagatjit Inds.,507155,,INE574A01016,Beverages,Breweries & Distilleries,137.50,64.33,643.26,0.00,-16.69,-146.60,75.67,-34.40,10.48,-48.42,143.54,-254.78,202603.00,2.11,-3.57,23.31,5.76,1.28
Jana Small Finan,544118,JSFB,INE953L01027,Banks,Other Bank,495.25,15.98,5216.20,0.00,139.82,13.23,1444.59,22.02,7.45,13.65,-34.90,-0.52,202603.00,30.99,13.28,-15.00,9.31,1.12
Jayatma Industri,531323,,INE250D01017,Textiles & Apparels,Other Textile Products,13.20,,8.15,0.00,-0.25,82.99,2.94,-76.23,-1.46,-6.90,45.79,161.76,202603.00,-1.67,-0.40,,2.25,-0.66
Johnson Pharma,532154,,INE560F01022,Commercial Services & Supplies,Diversified Commercial Services,0.54,,29.70,0.00,-55.61,-12058.82,0.00,,-104.81,,-16484.00,-17012.00,202603.00,-1.01,-1.01,,48.64,-158.46
JSW Energy,533148,JSWENERGY,INE121E01018,Power,Power Generation,595.05,47.78,109101.39,0.34,573.53,-8.94,4498.58,41.05,8.29,60.92,27.91,92.75,202603.00,12.74,2.11,17.97,2.50,1.35
Kaiser Corporat.,531780,,INE229G01022,Commercial Services & Supplies,Trading & Distributors,6.76,,35.57,0.00,0.80,73.08,3.10,-40.38,-0.65,-41.87,-0.93,-66.67,202603.00,-0.21,0.09,,3.49,-0.08
Kallam Textiles,530201,,INE629F01025,Textiles & Apparels,Other Textile Products,2.90,,15.32,0.00,-19.79,-130.12,71.17,12.29,-4.50,1.80,-57.36,-28.08,202512.00,-12.47,-3.75,,4.65,-0.59
Kalyan Capitals,538778,,INE149Q01021,Finance,Non Banking Financial Company (NBFC),9.57,13.05,50.26,0.00,0.82,180.95,9.87,123.81,10.45,25.31,0.52,14.19,202512.00,0.73,0.11,-2.31,4.97,1.28
Karnataka Bank,532652,KTKBANK,INE614B01018,Banks,Private Sector Bank,269.35,7.77,10186.55,1.86,408.19,61.74,2257.32,-0.05,6.06,-1.06,2.99,-1.71,202603.00,34.65,10.79,-2.85,8.63,1.29
Karnavati Financ,538928,,INE554R01020,Finance,Non Banking Financial Company (NBFC),1.38,,13.87,0.00,-5.79,-557.95,2.60,900.00,-8.82,238.22,-251.19,-268.63,202603.00,-0.59,-0.58,,6.31,-0.49
Karur Vysya Bank,590003,KARURVYSYA,INE036D01028,Banks,Private Sector Bank,288.75,11.12,27907.91,0.75,724.96,41.22,2903.65,15.41,7.64,14.43,29.44,17.14,202603.00,25.97,7.50,31.26,8.38,1.54
Kerala Ayurveda,530163,,INE817B01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,194.15,,252.30,0.00,-7.39,50.06,34.74,10.92,-9.77,4.42,-18.62,-255.71,202603.00,-12.74,-5.97,,7.78,-1.23
KIFS Financial,535566,,INE902D01013,Finance,Non Banking Financial Company (NBFC),130.45,17.67,141.15,1.15,1.87,-40.63,11.98,81.52,8.18,8.53,-0.99,5.81,202603.00,7.39,1.73,7.68,6.02,1.46
Kinetic Trust,531274,,INE674M01019,Finance,Non Banking Financial Company (NBFC),30.39,68.07,10.21,0.00,-0.01,-103.45,0.62,-45.13,5.72,48.31,-16.67,55.21,202603.00,0.45,-0.03,51.83,6.86,1.16
Konark Synth,514128,,INE517D01019,Textiles & Apparels,Other Textile Products,42.00,,24.40,0.00,0.04,200.00,12.32,-19.42,5.94,30.62,-1330.00,-79.95,202512.00,-5.25,0.07,,165.29,0.33
Kotak Mah. Bank,500247,KOTAKBANK,INE237A01036,Banks,Private Sector Bank,384.20,20.10,382144.87,0.13,5423.15,4.53,17827.36,6.29,6.93,6.26,-13.92,4.08,202603.00,19.39,5.45,8.38,3.66,1.87
Kumbhat Fin.,526869,,INE795E01019,Finance,Non Banking Financial Company (NBFC),22.07,14.17,11.76,0.00,1.15,-29.88,2.10,68.00,11.73,248.04,-38.97,14.89,202603.00,1.56,2.16,94.87,3.21,1.33
