Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Sales growth 3Years
Knack Packaging,544814,KNACK,INE17QZ01016,Industrial Products,Packaging,178.55,21.46,2184.88,0.00,31.51,58.98,256.82,40.32,34.07,11.42,27.20,11.88,202603.00,8.94,3.15,-41.76,16.45
KP Green Engg.,544150,,INE0QVH01025,Electrical Equipment,Heavy Electrical Equipment,264.00,9.76,1320.00,0.20,77.44,66.47,713.50,65.06,36.69,79.33,83.48,124.45,202603.00,27.15,15.49,-37.02,122.06
Krishna Defence,,KRISHNADEF,INE0J5601015,Aerospace & Defense,Aerospace & Defense,1026.70,37.45,1534.66,0.12,11.67,32.92,57.60,-15.18,31.07,29.10,73.10,68.42,202606.00,27.47,7.81,76.63,56.93
Kusumgar,544821,KUSUMGAR,INE0ISX01025,Textiles & Apparels,Other Textile Products,553.45,46.19,5810.75,0.00,41.86,882.63,241.91,93.59,18.84,-16.14,-18.94,-7.25,202603.00,8.68,3.99,-83.20,29.24
Kwality Pharma,539997,KPL,INE552U01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,3527.20,44.88,3659.89,0.00,25.62,114.75,162.35,45.63,24.08,37.94,88.02,54.87,202606.00,78.11,24.69,28.78,26.08
Kwick Forensic,544895,,INE1SFA01019,Industrial Manufacturing,Industrial Products,147.60,23.38,316.39,0.00,,,,,51.41,62.56,58.18,56.07,202603.00,8.01,,-47.31,73.10
Lodha Developers,543287,LODHA,INE670K01029,Realty,"Residential, Commercial Projects",1074.70,26.03,107398.59,0.38,1373.10,103.36,4996.70,43.10,16.41,26.04,39.20,39.02,202606.00,41.30,13.73,54.59,20.76
Lumino Inds,544894,LUMINO,INE185Q01025,Industrial Products,Cables - Electricals,103.86,19.80,3163.15,0.00,63.70,,947.62,,26.61,6.51,28.40,8.37,202603.00,6.57,20.92,-1.03,38.97
Lupin,500257,LUPIN,INE326A01037,Pharmaceuticals & Biotechnology,Pharmaceuticals,2061.20,15.80,94251.65,0.86,1416.98,16.08,8276.89,32.04,29.93,28.19,60.96,66.04,202606.00,120.98,30.95,139.79,18.88
Man Industries,513269,MANINDS,INE993A01026,Industrial Products,Iron & Steel Products,812.15,29.80,6091.80,0.00,61.43,122.41,1053.13,41.91,16.21,10.75,26.31,70.04,202606.00,27.24,8.19,32.74,16.89
