Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Sales growth 3Years
Tara Chand Infra,,TARACHAND,INE555Z01020,Commercial Services & Supplies,Diversified Commercial Services,56.16,15.95,442.68,0.35,8.57,9.03,89.55,9.70,18.25,14.94,30.94,32.50,202603.00,3.52,1.09,55.25,26.43
Taurian MPS,,TAURIAN,INE0XWS01018,Industrial Manufacturing,Industrial Products,292.50,16.03,259.83,0.00,12.54,122.74,67.06,54.80,29.74,35.10,72.81,64.32,202603.00,18.25,14.12,243.56,109.33
Thangamayil Jew.,533158,THANGAMAYL,INE085J01014,Consumer Durables,"Gems, Jewellery And Watches",4249.00,37.36,13206.73,0.30,142.66,354.33,2839.17,105.63,25.49,73.38,197.73,164.48,202603.00,113.14,45.90,64.12,39.26
Thomas Cook (I),500413,THOMASCOOK,INE332A01027,Leisure Services,"Tour, Travel Related Services",94.96,20.04,4466.72,0.48,30.68,-40.92,1770.69,-10.07,14.83,3.18,-13.46,-10.46,202603.00,4.65,0.82,222.22,18.49
Thyrocare Tech.,539871,THYROCARE,INE594H01019,Healthcare Services,Healthcare Service Provider,514.60,48.90,8190.70,1.35,48.70,117.14,223.95,19.66,36.72,20.61,93.27,38.20,202603.00,10.24,2.96,37.57,16.33
Tinna Rubber,530475,TINNARUBR,INE015C01016,Industrial Products,Rubber,854.60,29.11,1539.63,0.49,16.53,31.19,156.95,21.64,22.31,8.01,10.75,21.21,202603.00,29.34,9.18,33.36,22.71
TIPCO Engineering,544740,,INE1U6D01014,Industrial Manufacturing,Industrial Products,156.65,12.86,325.32,0.00,16.73,156.99,94.97,65.51,36.23,9.12,63.29,59.86,202603.00,12.19,8.06,-83.18,59.25
Tips Music,532375,TIPSMUSIC,INE716B01029,Entertainment,Media & Entertainment,677.40,39.92,8659.27,1.94,59.06,92.94,103.93,32.41,122.19,20.86,34.45,33.43,202603.00,16.96,4.62,41.79,26.21
TPL Plastech,526582,TPLPLASTEH,INE413G01022,Industrial Products,Packaging,72.00,19.32,561.62,1.40,8.06,18.01,114.07,23.75,22.28,20.96,23.18,18.97,202603.00,3.73,1.03,24.37,16.02
Transrail Light,544317,TRANSRAILL,INE454P01035,Electrical Equipment,Heavy Electrical Equipment,491.00,15.88,6592.00,0.17,96.50,-23.76,1863.46,-4.24,29.18,29.62,27.80,5.65,202603.00,30.06,7.19,-13.46,29.72
Travel Food,544443,TRAVELFOOD,INE103V01028,Leisure Services,Restaurants,1231.30,36.78,16213.71,0.00,122.60,17.45,460.68,25.67,42.37,-2.37,21.67,17.04,202603.00,33.49,9.17,-62.11,15.58
Trident Lifeline,543616,,INE0MKA01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,249.20,15.63,297.37,0.00,11.44,51.93,75.66,52.48,20.56,48.44,62.04,87.15,202603.00,15.96,9.24,44.99,59.68
Triveni Turbine,533655,TRITURBINE,INE152M01016,Electrical Equipment,Heavy Electrical Equipment,709.05,62.37,22540.33,0.54,101.90,8.52,679.60,26.32,35.86,8.74,8.56,2.17,202603.00,11.00,3.21,27.62,20.47
Unified Data,544406,,INE1ABX01018,IT - Services,IT Enabled Services,421.00,20.75,845.80,1.32,23.48,94.05,138.97,21.47,45.25,30.75,38.14,12.00,202603.00,20.28,11.69,-89.94,37.62
Uno Minda,532539,UNOMINDA,INE405E01023,Auto Components,Auto Components & Equipments,1106.75,52.52,63911.17,0.24,351.76,22.39,5336.41,17.85,19.70,17.19,30.25,20.14,202603.00,20.73,5.64,23.03,20.49
V-Marc India,,VMARCIND,INE0GXK01018,Industrial Products,Cables - Electricals,1426.00,34.81,3482.38,0.00,63.63,157.30,1105.46,97.52,41.38,100.55,177.85,105.62,202603.00,40.98,26.06,107.51,94.30
Varun Beverages,540180,VBL,INE200M01039,Beverages,Other Beverages,529.55,56.33,179109.44,0.28,878.72,20.08,6574.19,18.09,19.71,6.75,14.32,6.43,202603.00,9.41,2.58,22.31,18.08
Venus Pipes,543528,VENUSPIPES,INE0JA001018,Industrial Products,Iron & Steel Products,1394.95,28.25,2889.79,0.07,25.50,6.96,302.20,17.07,22.50,21.73,10.34,13.70,202603.00,49.22,12.31,31.46,28.31
Vertoz,,VERTOZ,INE188Y01031,Media,Advertising & Media Agencies,48.55,15.87,413.79,0.00,6.25,-2.33,73.69,13.06,14.16,14.72,6.89,27.80,202603.00,3.06,0.79,-12.72,52.18
Vesuvius India,520113,VESUVIUS,INE386A01023,Industrial Products,Electrodes & Refractories,473.00,36.82,9600.04,0.32,55.85,-5.83,499.85,3.66,21.34,11.83,2.18,7.59,202603.00,12.84,2.75,25.80,16.16
Vijaya Diagnost.,543350,VIJAYA,INE043W01024,Healthcare Services,Healthcare Service Provider,1241.00,73.85,12769.50,0.15,47.93,34.56,219.38,26.63,21.29,19.49,25.35,23.32,202603.00,16.81,4.66,26.92,21.03
Vikram Solar,544488,VIKRAMSOLR,INE078V01014,Electrical Equipment,Other Electrical Equipment,198.90,15.19,7206.77,0.00,110.42,21.86,1452.82,21.73,30.53,40.28,239.34,86.30,202603.00,12.98,3.05,180.73,32.31
Vinsys IT Serv.,,VINSYS,INE0OSJ01014,Other Consumer Services,Education,366.00,18.15,539.84,0.00,21.40,9.48,148.36,24.08,21.32,26.82,-0.97,7.05,202603.00,20.26,14.24,10.52,41.44
Virtual Galaxy,,VGINFOTECH,INE0VRH01015,IT - Software,Software Products,139.65,7.54,347.30,0.72,14.49,195.71,54.66,189.21,33.74,51.54,43.49,52.37,202603.00,18.53,5.83,124.57,46.38
Virtuoso Optoel.,543597,,INE0I0T01010,Consumer Durables,Diversified consumer products,380.00,94.64,1209.64,0.00,7.05,,204.55,,12.64,31.20,39.49,7.99,202512.00,4.25,2.28,22.14,51.55
Vishal Mega Mart,544307,VMM,INE01EA01019,Retailing,Diversified Retail,121.30,67.57,56718.67,0.00,167.92,45.88,3114.10,22.22,14.79,20.44,37.82,20.46,202603.00,1.80,0.36,37.31,19.38
Viviana Power,,VIVIANA,INE0MEG01014,Construction,Civil Construction,945.00,19.07,956.82,0.00,43.26,245.25,432.34,208.24,50.69,166.32,195.18,171.10,202603.00,49.56,42.73,150.97,140.31
Vivid Electromech,,VIVIDEL,INE24H301028,Electrical Equipment,Other Electrical Equipment,940.00,26.44,835.44,0.00,22.16,41.69,129.57,27.96,58.63,28.91,56.10,58.46,202603.00,45.13,31.64,95.98,50.00
